ir_led1,ir_led2
-103281, -98692
-103386, -98719
-103481, -98719
-103566, -98619
-103629, -98482
-103727, -98429
-103824, -98425
-103832, -98444
-103561, -98470
-102960, -98500
-102445, -98494
-102520, -98487
-102647, -98514
-102839, -98552
-102968, -98566
-103019, -98613
-103034, -98655
-103074, -98682
-103157, -98721
-103270, -98748
-103372, -98779
-103478, -98810
-103580, -98827
-103673, -98843
-103748, -98828
-103814, -98724
-103916, -98600
-103982, -98542
-103970, -98549
-103555, -98565
-102922, -98604
-102555, -98641
-102518, -98643
-102639, -98649
-102809, -98652
-102966, -98685
-103070, -98712
-103063, -98742
-103076, -98785
-103144, -98787
-103227, -98823
-103352, -98846
-103457, -98876
-103560, -98889
-103656, -98916
-103766, -98879
-103827, -98764
-103922, -98652
-103992, -98621
-104081, -98627
-104088, -98631
-103720, -98677
-103059, -98693
-102630, -98685
-102586, -98663
-102699, -98656
-102878, -98674
-103048, -98710
-103128, -98722
-103170, -98758
-103153, -98785
-103208, -98788
-103300, -98805
-103397, -98813
-103503, -98821
-103615, -98730
-103701, -98615
-103774, -98516
-103844, -98498
-103929, -98513
-104008, -98549
-104039, -98580
-103742, -98599
-103106, -98574
-102673, -98576
-102615, -98589
-102744, -98612
-102927, -98632
-103090, -98663
-103169, -98691
-103172, -98734
-103167, -98758
-103203, -98776
-103272, -98789
-103389, -98777
-103508, -98686
-103569, -98545
-103657, -98484
-103732, -98468
-103779, -98487
-103849, -98503
-103838, -98539
-103443, -98543
-102812, -98538
-102429, -98540
-102404, -98554
-102536, -98592
-102728, -98623
-102904, -98654
-102961, -98696
-102967, -98724
-102961, -98739
-103034, -98773
-103111, -98768
-103221, -98760
-103320, -98638
-103414, -98503
-103481, -98427
-103585, -98422
-103641, -98427
-103743, -98468
-103692, -98478
-102553, -98484
-102212, -98465
-102207, -98459
-102325, -98518
-102502, -98522
-102664, -98573
-102732, -98593
-102747, -98616
-102752, -98648
-102830, -98659
-102912, -98708
-103008, -98709
-103118, -98728
-103226, -98651
-103293, -98515
-103382, -98421
-103463, -98395
-103550, -98406
-103538, -98425
-103117, -98460
-102441, -98462
-102049, -98431
-102024, -98421
-102147, -98440
-102327, -98452
-102489, -98473
-102591, -98498
-102583, -98503
-102598, -98526
-102662, -98557
-102764, -98539
-102877, -98483
-102986, -98363
-103092, -98263
-103182, -98267
-103254, -98251
-103334, -98277
-103416, -98310
-103484, -98317
-103309, -98297
-102732, -98280
-102165, -98289
-102013, -98324
-102108, -98335
-102273, -98345
-102457, -98379
-102567, -98386
-102580, -98395
-102537, -98360
-102609, -98256
-102679, -98146
-102777, -98110
-102881, -98104
-102975, -98117
-103057, -98176
-103163, -98222
-103246, -98199
-103207, -98219
-102785, -98218
-102232, -98265
-101982, -98291
-102036, -98322
-102209, -98346
-102418, -98383
-102569, -98413
-102603, -98409
-102585, -98390
-102578, -98271
-102659, -98175
-102755, -98143
-102845, -98156
-102921, -98182
-103024, -98235
-103120, -98251
-103133, -98265
-102961, -98274
-102364, -98291
-101852, -98329
-101759, -98358
-101862, -98391
-102039, -98436
-102232, -98451
-102342, -98490
-102369, -98529
-102355, -98554
-102412, -98562
-102494, -98452
-102612, -98321
-102711, -98262
-102791, -98260
-102875, -98276
-102954, -98304
-103027, -98340
-102791, -98339
-102169, -98354
-101663, -98373
-101562, -98391
-101659, -98430
-101791, -98470
-101965, -98514
-102094, -98560
-102151, -98594
-102146, -98642
-102284, -98680
-102407, -98703
-102499, -98734
-102589, -98770
-102694, -98721
-102778, -98583
-102878, -98467
-102956, -98429
-102926, -98427
-102462, -98448
-101801, -98506
-101506, -98518
-101535, -98537
-101649, -98543
-101830, -98561
-101990, -98586
-102074, -98620
-102082, -98675
-102102, -98697
-102176, -98718
-102292, -98762
-102405, -98788
-102487, -98808
-102640, -98822
-102718, -98800
-102790, -98666
-102883, -98552
-102978, -98509
-103065, -98522
-103153, -98547
-103053, -98597
-102496, -98633
-101894, -98650
-101664, -98650
-101710, -98670
-101847, -98709
-102024, -98751
-102172, -98801
-102231, -98824
-102224, -98872
-102254, -98898
-102342, -98948
-102449, -98953
-102561, -98974
-102665, -98945
-102770, -98814
-102833, -98707
-102923, -98675
-102994, -98678
-103118, -98722
-103109, -98784
-102710, -98812
-102112, -98820
-101799, -98829
-101814, -98877
-101947, -98873
-102133, -98915
-102318, -98960
-102376, -99001
-102382, -99030
-102396, -99062
-102481, -99085
-102583, -99101
-102713, -99128
-102831, -99096
-102945, -98968
-103028, -98861
-103130, -98803
-103214, -98818
-103305, -98856
-103331, -98927
-102992, -98954
-102328, -98965
-101935, -98973
-101898, -99008
